,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_λ(O),Exit_λ(O),Entry_λ(H),Exit_λ(H),Entry_λ(L),Exit_λ(L),"Entry_calc_ha_o…(λ(O),O)","Exit_calc_ha_o…(λ(O),O)","Entry_calc_ha_h…(λ(H),calc_ha_o…,O)","Exit_calc_ha_h…(λ(H),calc_ha_o…,O)","Entry_calc_ha_l…(λ(L),calc_ha_o…,O)","Exit_calc_ha_l…(λ(L),calc_ha_o…,O)",Entry_smooth_ha…(calc_ha_o…),Exit_smooth_ha…(calc_ha_o…),Entry_smooth_ha…(O),Exit_smooth_ha…(O),Entry_smooth_ha…(calc_ha_h…),Exit_smooth_ha…(calc_ha_h…),Entry_smooth_ha…(calc_ha_l…),Exit_smooth_ha…(calc_ha_l…),"Entry_calc_scal…(smooth_ha…,smooth_ha…,smooth_ha…,smooth_ha…)_0","Exit_calc_scal…(smooth_ha…,smooth_ha…,smooth_ha…,smooth_ha…)_0","Entry_calc_scal…(smooth_ha…,smooth_ha…,smooth_ha…,smooth_ha…)_1","Exit_calc_scal…(smooth_ha…,smooth_ha…,smooth_ha…,smooth_ha…)_1","Entry_calc_scal…(smooth_ha…,smooth_ha…,smooth_ha…,smooth_ha…)_2","Exit_calc_scal…(smooth_ha…,smooth_ha…,smooth_ha…,smooth_ha…)_2","Entry_calc_scal…(smooth_ha…,smooth_ha…,smooth_ha…,smooth_ha…)_3","Exit_calc_scal…(smooth_ha…,smooth_ha…,smooth_ha…,smooth_ha…)_3",Entry_calc_rsi(C),Exit_calc_rsi(C),Entry_calc_stoc…(calc_rsi(…),Exit_calc_stoc…(calc_rsi(…),Entry_calc_k(calc_stoc…),Exit_calc_k(calc_stoc…),Entry_calc_d(calc_k(ca…),Exit_calc_d(calc_k(ca…),Entry_λ(calc_k(ca…),Exit_λ(calc_k(ca…),Entry_λ(calc_d(ca…),Exit_λ(calc_d(ca…)
10,306,166,173,2.2919613882151313,2.2982774913141806,,,1.9327275483090816,0.002755763308895931,2025-05-28 07:45:00+00:00,2025-05-28 09:30:00+00:00,0 days 01:45:00,,2.2919613882151313,2.2982774913141806,2.29962,2.29921,2.2919613882151313,2.29009,2.2919613882151313,2.2982774913141806,2.29962,2.29921,2.2919613882151313,2.29009,2.291498332322697,2.298941236971271,2.294415,2.2961187499999998,2.29751,2.30018,2.2911056941075656,2.292295,1.6941060927861362,1.754144042681869,1.71763329837864,1.7313765427119456,1.742599015890942,1.7641364846333811,1.6909388893084272,1.7005323868677933,44.920294570062076,48.627519165697755,0.6844609005885378,0.6628354476010772,0.5373329871187769,0.6040406648600443,0.391132446216709,0.7128686982740401,2.9866389695021525,8.323253188803541,-8.70940430266328,17.02949586192321
11,305,178,188,2.297083749728568,2.308115177001688,,,3.364585318301603,0.004802361809587374,2025-05-28 10:45:00+00:00,2025-05-28 13:15:00+00:00,0 days 02:30:00,,2.297083749728568,2.308115177001688,2.30492,2.308115177001688,2.297083749728568,2.2995,2.297083749728568,2.308115177001688,2.30492,2.308115177001688,2.297083749728568,2.2995,2.2959193745928523,2.309357765502532,2.3008775,2.304315,2.30416,2.309357765502532,2.2959193745928523,2.301385,1.7297682874312532,1.8381686335607974,1.7697628458498027,1.7974913285472294,1.7962410260546917,1.8381686335607974,1.7297682874312532,1.7738565782044038,63.893363103753146,43.88695040934047,1.0,0.07015758599267999,0.8437106766751725,0.20073822508841951,0.6864241344964004,0.4971493513046565,27.4968541340138,-23.94094199292644,14.91393075971203,-0.2280518956274804
12,312,208,211,2.2513580236293573,2.2510894404536694,,,-0.08379795081462404,-0.00011929829590362484,2025-05-28 18:15:00+00:00,2025-05-28 19:00:00+00:00,0 days 00:45:00,,2.2513580236293573,2.2510894404536694,2.25991,2.2559,2.24958,2.24215,2.2513580236293573,2.2510894404536694,2.25991,2.2559,2.24958,2.24215,2.249792035444036,2.2521566606805044,2.25464375,2.24872125,2.25991,2.256265,2.2489030236293575,2.2411700000000003,1.3576835963865133,1.3767577694644226,1.3968197951117218,1.3490461401952094,1.43929983060418,1.4098975558602893,1.3505124113040055,1.2881342260224282,40.537494647703994,46.534510146193185,0.7769538164971072,0.9313083743411051,0.8672501576762435,0.8048185576840915,0.7140039855868213,0.820480348267217,29.380012614099485,24.385484614727318,17.120318846945707,25.638427861377366
13,313,217,246,2.2393738584445884,2.2985238293723227,,,18.513940900380845,0.026413620354047707,2025-05-28 20:30:00+00:00,2025-05-29 03:45:00+00:00,0 days 07:15:00,,2.2393738584445884,2.2985238293723227,2.24981,2.2985238293723227,2.2393738584445884,2.28829,2.2393738584445884,2.2985238293723227,2.24981,2.2985238293723227,2.2393738584445884,2.28829,2.237812037666883,2.2999344940584843,2.244375,2.2935024999999998,2.248355,2.3005169146861615,2.237812037666883,2.288745,1.2610473313453494,1.7621561188875083,1.313987254981043,1.7102726466080496,1.346091796402357,1.7668541960648676,1.2610473313453494,1.6718964265548129,49.717984934224745,51.106161677319,1.0,0.034624260945918334,0.9397757579541007,0.09754098852574944,0.7103715176599396,0.23047764001882184,35.18206063632806,-32.19672091794004,16.829721412795166,-21.561788798494252
14,312,253,260,2.2832486431982213,2.2836893643999865,,,0.1375050149507402,0.00019302374407548228,2025-05-29 05:30:00+00:00,2025-05-29 07:15:00+00:00,0 days 01:45:00,,2.2832486431982213,2.2836893643999865,2.2877,2.28642,2.28318,2.2823,2.2832486431982213,2.2836893643999865,2.2877,2.28642,2.28318,2.2823,2.2828217147973318,2.2837877965999795,2.28506125,2.28397,2.288005,2.2869099999999998,2.2819900000000004,2.28005,1.6241164378263442,1.6319093054769676,1.6421815761877887,1.633379043316933,1.6659272404614036,1.6570944583366936,1.617407437283218,1.60175848995725,49.825704414094616,49.61084294425266,0.30165006129143856,0.8058230724399817,0.22084409524443438,0.7393133146682603,0.14254352281662142,0.6117643175562814,-22.33247238044525,19.14506517346083,-28.596518174670287,8.941145404502507
15,312,261,263,2.284068432199993,2.282090233049998,,,-0.6171981347984321,-0.0008660857626273666,2025-05-29 07:30:00+00:00,2025-05-29 08:00:00+00:00,0 days 00:30:00,,2.284068432199993,2.282090233049998,2.28505,2.28691,2.2809,2.27707,2.284068432199993,2.282090233049998,2.28505,2.28691,2.2809,2.27707,2.2838788982999896,2.2828965995749972,2.2838925,2.281505,2.285735,2.2853064830499985,2.2816,2.27734,1.6326441743969484,1.62472049346614,1.6327538920706623,1.6134952004517242,1.647616358796483,1.6441597406630526,1.6142615148826345,1.5798983625070604,44.292843435116964,54.33847214446033,0.4433783554942878,1.0,0.6376886174479578,0.5145236819130251,0.644869509646302,0.534003446251334,11.015089395836625,1.1618945530420106,11.589560771704157,2.7202757001067184
16,310,272,280,2.2929560014317385,2.2997328359430926,,,2.100818698519782,0.0029555013297781763,2025-05-29 10:15:00+00:00,2025-05-29 12:15:00+00:00,0 days 02:00:00,,2.2929560014317385,2.2997328359430926,2.29992,2.30051,2.2929560014317385,2.29411,2.2929560014317385,2.2997328359430926,2.29992,2.30051,2.2929560014317385,2.29411,2.2926940021476074,2.299906753914639,2.2947075000000003,2.2984074999999997,2.2989100000000002,2.301705,2.2906380007158695,2.2951949999999997,1.7037509248012226,1.7619323539133604,1.7199927401790795,1.7498386706461229,1.75389207066226,1.7764378478664213,1.6871662556737088,1.7239251431798,65.61638088081065,55.97333318357866,0.9473116799185969,0.23380075979059053,0.8662582467157737,0.3236637176373291,0.7779927227450959,0.4464010488963091,29.300659737261896,-14.106902589013671,22.239417819607674,-4.287916088295269
17,310,284,286,2.2979695522464434,2.2973223880616107,,,-0.2006208972981316,-0.00028162435146283915,2025-05-29 13:15:00+00:00,2025-05-29 13:45:00+00:00,0 days 00:30:00,,2.2979695522464434,2.2973223880616107,2.30555,2.2973223880616107,2.2979695522464434,2.28329,2.2979695522464434,2.2973223880616107,2.30555,2.2973223880616107,2.2979695522464434,2.28329,2.2963793283696647,2.2988398320924164,2.3019475000000003,2.2910775,2.307275,2.3000111940308052,2.2963793283696647,2.284345,1.7334784897125504,1.7533260635025936,1.7783939662821682,1.6907114624505948,1.8213680729208706,1.7627748167363504,1.7334784897125504,1.636403968702107,57.37099546614651,37.60667689293898,0.5427382480947933,0.04577895063681259,0.5308873979271328,0.21354287799158858,0.35649744206793926,0.39399715304754035,2.4709918341706256,-22.916569760672914,-11.48020463456486,-8.480227756196772
18,311,293,295,2.2878803116254813,2.2827013279063704,,,-1.6106639366435096,-0.0022636602504050307,2025-05-29 15:30:00+00:00,2025-05-29 16:00:00+00:00,0 days 00:30:00,,2.2878803116254813,2.2827013279063704,2.29197,2.2827013279063704,2.2793,2.2704,2.2878803116254813,2.2827013279063704,2.29197,2.2827013279063704,2.2793,2.2704,2.287014217438222,2.2847219918595556,2.28760875,2.2769875000000006,2.2926450000000003,2.2847219918595556,2.2827240616254816,2.272745,1.657935124935245,1.639444961358036,1.6627309026377357,1.5770549326450007,1.7033556505606227,1.639444961358036,1.623328721670418,1.5428329434540626,41.21652125984281,37.334814411146596,0.4131976886341829,0.3146691260133455,0.5371677504960631,0.34751198022029134,0.5324028986907204,0.45114299949381853,2.9734200396850525,-12.199041582376694,2.5922318952576333,-3.908560040494521
19,311,303,306,2.278063110655884,2.2813250763319854,,,1.0144713252675621,0.0014319031201739385,2025-05-29 18:00:00+00:00,2025-05-29 18:45:00+00:00,0 days 00:45:00,,2.278063110655884,2.2813250763319854,2.29052,2.2813250763319854,2.278063110655884,2.27148,2.278063110655884,2.2813250763319854,2.29052,2.2813250763319854,2.278063110655884,2.27148,2.277354665983826,2.2825038644979783,2.28281125,2.276345,2.290895,2.284247538165993,2.274481555327942,2.27209,1.5800166651917908,1.6215525086551454,1.6240320238767452,1.5718722271517318,1.6892393320964751,1.635617795966709,1.556840810905398,1.537549407114625,58.32993825046662,39.30398845269415,1.0,0.24268803624738286,0.8214654982301846,0.43121761295464833,0.7387159863729503,0.6775495983847118,25.717239858414757,-5.502590963628137,19.097278909836028,14.20396787077695
