,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_scale_ha,Exit_scale_ha,Entry_calc_rsi(C),Exit_calc_rsi(C),Entry_calc_stoc…(calc_rsi(…),Exit_calc_stoc…(calc_rsi(…),Entry_butterwor…(calc_stoc…),Exit_butterwor…(calc_stoc…),Entry_calc_k(butterwor…),Exit_calc_k(butterwor…),Entry_calc_d(calc_k(bu…),Exit_calc_d(calc_k(bu…),Entry_λ(calc_k(bu…),Exit_λ(calc_k(bu…),Entry_λ(calc_d(ca…),Exit_λ(calc_d(ca…)
0,23697,3,45,2.108891487121582,2.287550687789917,,,4233.687078237534,0.08471711406649285,2025-06-15 15:00:00-07:00,2025-06-16 12:00:00-07:00,0 days 21:00:00,,0.9019127718750621,0.9784504833073449,,67.34407066944243,0.0,,6.674374486032727e-05,,1.4120253983001104e-05,,-7.564247090178377e-06,,-39.99887037968136,,-40.00060513976722,
1,25855,127,179,2.0126960277557373,2.2331302165985107,,,5699.325952529907,0.10952184820902611,2025-06-18 05:00:00-07:00,2025-06-19 07:00:00-07:00,1 days 02:00:00,,0.8140040028791212,0.9566502555344322,36.29541941012644,52.325709177696446,0.2764849499181793,0.23740196502763197,0.1965339160672652,0.06323339208188476,0.2712017882338673,0.06563909720618934,0.5237951335097271,0.05506670408249399,-18.303856941290615,-34.748872223504854,1.903610680778165,-35.59466367340048
2,29927,351,429,1.8321763277053833,2.0378007888793945,,,6153.723249554634,0.11222962444424511,2025-06-22 21:00:00-07:00,2025-06-24 12:00:00-07:00,1 days 15:00:00,,0.013911779056035405,0.5044755525452366,55.20130251047722,50.61585228120503,0.9562900853677407,0.2885543127055379,0.8515100149717196,0.44129976326488757,0.8562199617595605,0.3002194009749284,0.9109477760831138,0.1546975034017694,28.497596940764836,-15.98244792200573,32.87582208664911,-27.624199727858446
3,29887,541,674,1.9355981349945068,2.139357805252075,,,6089.765264987946,0.10526961489252873,2025-06-26 20:00:00-07:00,2025-06-29 14:30:00-07:00,2 days 18:30:00,,0.4713307693919847,0.9210330381432775,50.752904143491975,62.49714302559332,1.0,0.6469763842847582,0.9251196093208445,0.6802826482188855,0.5409676204877228,0.32074723590918425,0.46313177049879845,0.18290326930418394,3.277409639017826,-14.34022112726526,-2.9494583600961235,-25.367738455665286
4,28583,690,693,2.12819766998291,2.1044325828552246,,,-679.277485370636,-0.011166766820055907,2025-06-29 22:30:00-07:00,2025-06-30 00:00:00-07:00,0 days 01:30:00,,0.8531312472346599,0.8499347846829955,45.08409960352293,41.77215897455928,0.0838022553056989,0.16327374681535503,0.05623311965864259,0.09319882512542492,0.03928464451037624,0.03669033251598437,0.31270658064491086,0.15062026669775283,-36.8572284391699,-37.06477339872125,-14.983473548407133,-27.950378664179773
5,29775,782,854,2.0295753479003906,2.1684341430664062,,,4134.520626068115,0.06841765954127599,2025-07-01 20:30:00-07:00,2025-07-03 08:30:00-07:00,1 days 12:00:00,,0.4485651875580364,0.868262744452047,40.74829836002422,39.19278570706873,0.6660379494559575,0.0,0.8039696134380552,0.029725094088683165,0.8103399744759434,0.05747380341055908,0.7632943996215894,0.19489752888186213,24.827197958075473,-35.40209572715527,21.06355196972715,-24.40819768945103
6,30291,930,1032,2.061163902282715,2.2080271244049072,,,4448.6338613033295,0.07125256849275452,2025-07-04 22:30:00-07:00,2025-07-07 01:30:00-07:00,2 days 03:00:00,,0.1499995942322107,0.8604043434383933,48.37230669386174,59.070556345690925,0.7368845450609426,0.6179167797133511,0.7908602586972138,0.4164438282384105,0.7964420440425015,0.5912888453673018,0.8565435413562357,0.570376927829294,23.71536352340012,7.303107629384144,28.523483308498854,5.630154226343514
7,30436,1072,1164,2.122281312942505,2.4853453636169434,,,11050.21744632721,0.17107253805625633,2025-07-07 21:30:00-07:00,2025-07-09 19:30:00-07:00,1 days 22:00:00,,0.6975859674064533,0.9428888277546276,44.64618867537871,55.21598734746192,0.5360803957984559,0.2897444252862885,0.591803813480283,0.16641791321292568,0.4964604917812725,0.15189088744675622,0.444988854990038,0.2455919909300127,-0.2831606574982004,-27.848729004259503,-4.40089160079696,-20.352640725598985
8,28535,1171,1232,2.4547324180603027,2.8053019046783447,,,10003.500300645828,0.14281372749175536,2025-07-09 23:00:00-07:00,2025-07-11 05:30:00-07:00,1 days 06:30:00,,0.9453410979868366,0.9334932898679255,46.43892012381079,66.47557239577753,0.0,0.5590341476705762,0.0848458443983778,0.6633845329105874,0.11061097313776452,0.661393879240036,0.13978644157190653,0.4286494641370312,-31.15112214897884,12.911510339202877,-28.817084674247475,-5.708042869037506
9,28410,1294,1369,2.638871908187866,2.898533582687378,,,7376.988172531128,0.09839874140682459,2025-07-12 12:30:00-07:00,2025-07-14 02:00:00-07:00,1 days 13:30:00,,0.7432900235001861,0.9268700914268783,52.356481158958566,58.79236602900263,1.0,0.5097416905170773,0.8949559973099466,0.36612938570836523,0.662772349849097,0.5359201292923739,0.36994742073611314,0.7718741122150032,13.021787987927766,2.873610343389913,-10.40420634111095,21.749928977200256
